,Property ID,Building name,Street address,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,x coordinate,y coordinate,Street level
11,102097,ROY MORGAN CENTRE,409-413 Collins Street MELBOURNE 3000,8.0,Office,Low level of accessibility,All entrances have steps,1.0,144.961,-37.8175,Collins Street
12,105927,THE DISPLAY BLOCK,313-315 Little Collins Street MELBOURNE 3000,8.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9643,-37.8152,Little Collins Street
13,105694,Unknown building name,233-237 Lonsdale Street MELBOURNE 3000,2.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9655,-37.8116,Lonsdale Street
14,105915,STAMFORD PLAZA HOTEL,121-127 Little Collins Street MELBOURNE 3000,17.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9698,-37.8137,Little Collins Street
15,104016,SAINT PAULS CATHEDRAL,202 Flinders Street MELBOURNE 3000,1.0,"Performances, Conferences, Ceremonies",Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9677,-37.8168,Flinders Street
16,106042,Unknown building name,302-304 Little Lonsdale Street MELBOURNE 3000,3.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9605,-37.8115,Little Lonsdale Street
17,104078,RMIT GOSSARD BUILDING 49,65-77 Franklin Street MELBOURNE 3000,3.0,Educational/Research,Low level of accessibility,All entrances have steps,1.0,144.9624,-37.8079,Franklin Street
18,101183,Unknown building name,422-424 Bourke Street MELBOURNE 3000,2.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9613,-37.8146,Bourke Street
19,105938,COWAN HOUSE,457-469 Little Collins Street MELBOURNE 3000,18.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9595,-37.8166,Little Collins Street
20,104080,FRANKLIN LOFTS,83-93 Franklin Street MELBOURNE 3000,25.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9618,-37.8082,Franklin Street
21,103919,ALLEY BUILDING,75-77 Flinders Lane MELBOURNE 3000,6.0,Unoccupied - Under Renovation,Low level of accessibility,All entrances have steps,1.0,144.9722,-37.8151,Flinders Lane
22,101778,VESTA HOUSE,1-7 Carson Place MELBOURNE 3000,6.0,Equipment Installation,Low level of accessibility,All entrances have steps,1.0,144.9652,-37.8152,Carson Place
23,102151,BAPTIST CHURCH,170-174 Collins Street MELBOURNE 3000,10.0,"Performances, Conferences, Ceremonies",Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9677,-37.8147,Collins Street
24,102062,ANZ TOWER,55 Collins Street MELBOURNE 3000,50.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9726,-37.8143,Collins Street
25,105960,HUB ARCADE,318-322 Little Collins Street MELBOURNE 3000,3.0,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.964,-37.8149,Little Collins Street
26,102101,MLC TOWER,459 Collins Street MELBOURNE 3000,32.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9589,-37.8182,Collins Street
27,109277,Unknown building name,149-153 Swanston Street MELBOURNE 3000,3.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9656,-37.8142,Swanston Street
28,105691,Unknown building name,209-211 Lonsdale Street MELBOURNE 3000,3.0,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9663,-37.8114,Lonsdale Street
29,109677,Unknown building name,13A Victoria Street MELBOURNE 3000,2.0,Unoccupied - Unused,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.968,-37.8076,Victoria Street
30,103952,Unknown building name,349-351 Flinders Lane MELBOURNE 3000,7.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9629,-37.8179,Flinders Lane
31,101128,MC DONALDS,185-187 Bourke Street MELBOURNE 3000,4.0,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9678,-37.8131,Bourke Street
32,103222,Unknown building name,423-425 Elizabeth Street MELBOURNE 3000,2.0,Retail - Shop,High level of accessibility,Main Entrance has ramp,3.0,144.9604,-37.809,Elizabeth Street
33,101176,NATIONAL BANK HOUSE,494-512 Bourke Street MELBOURNE 3000,40.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9588,-37.8149,Bourke Street
34,108109,PRUDENTIAL BUILDING,148-156 Queen Street MELBOURNE 3000,13.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9612,-37.8151,Queen Street
35,109417,Regent Theatre & Plaza Ballroom,191-197 Collins Street MELBOURNE 3000,9.0,"Performances, Conferences, Ceremonies",Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9678,-37.8158,Collins Street
36,100727,MITRE TAVERN,5-9 Bank Place MELBOURNE 3000,2.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9603,-37.8168,Bank Place
37,106429,Unknown building name,10-22 Manton Lane MELBOURNE 3000,3.0,Parking - Private Covered,Low level of accessibility,All entrances have steps,1.0,144.9553,-37.8136,Manton Lane
38,109972,WATSON HOUSE,14-16 Watson Place MELBOURNE 3000,4.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9682,-37.8157,Watson Place
39,106373,Unknown building name,21-27 McKillop Street MELBOURNE 3000,1.0,Retail - Shop,High level of accessibility,Main Entrance has ramp,3.0,144.9615,-37.8152,McKillop Street
40,108095,Unknown building name,266-270 Queen Street MELBOURNE 3000,3.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9599,-37.8123,Queen Street
41,102156,GILBERT COURT,100-104 Collins Street MELBOURNE 3000,13.0,Office,Low level of accessibility,All entrances have steps,1.0,144.97,-37.8142,Collins Street
42,105297,CITIC HOUSE,97-111 King Street MELBOURNE 3000,9.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9559,-37.8177,King Street
43,102154,UNITING CHURCH,122-136 Collins Street MELBOURNE 3000,1.0,"Performances, Conferences, Ceremonies",Low level of accessibility,All entrances have steps,1.0,144.9692,-37.8144,Collins Street
44,104007,GATEWAY EXCHANGE,300-316 Flinders Street MELBOURNE 3000,19.0,Parking - Commercial Covered,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.964,-37.8181,Flinders Street
45,103922,ROSATI,95-101 Flinders Lane MELBOURNE 3000,1.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9711,-37.8155,Flinders Lane
46,102172,PORTLAND HOUSE,8 Collins Street MELBOURNE 3000,3.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9733,-37.8131,Collins Street
47,559405,Morgan Place,547-555 Flinders Lane MELBOURNE 3000,8.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9558,-37.82,Flinders Lane
48,108536,PORTLAND HOTEL,115-127 Russell Street MELBOURNE 3000,3.0,Entertainment/Recreation - Indoor,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9682,-37.8137,Russell Street
49,105962,CITY OF MELBOURNE CAR PARK,218-242 Little Collins Street MELBOURNE 3000,1.0,Unoccupied - Under Construction,Low level of accessibility,All entrances have steps,1.0,144.9668,-37.8141,Little Collins Street
50,105882,Unknown building name,212 Little Bourke Street MELBOURNE 3000,2.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9663,-37.812,Little Bourke Street
51,104654,Unknown building name,27-31 Hardware Lane MELBOURNE 3000,3.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9613,-37.814,Hardware Lane
52,108100,Unknown building name,432-438 Queen Street MELBOURNE 3000,2.0,Retail - Shop,High level of accessibility,Main Entrance has ramp,3.0,144.9583,-37.8084,Queen Street
53,108086,Unknown building name,375 Queen Street MELBOURNE 3000,2.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.958,-37.8097,Queen Street
54,102083,DE BONO CENTRE,251-257 Collins Street MELBOURNE 3000,16.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9657,-37.8163,Collins Street
55,109410,Unknown building name,152-156 Swanston Street MELBOURNE 3000,4.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9662,-37.814,Swanston Street
56,109296,Unknown building name,261-263 Swanston Street MELBOURNE 3000,2.0,Retail - Shop,High level of accessibility,Main Entrance has ramp,3.0,144.9646,-37.8121,Swanston Street
57,102596,Unknown building name,22 Drewery Place MELBOURNE 3000,2.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9638,-37.8113,Drewery Place
58,100152,Unknown building name,47-49 A'Beckett Street MELBOURNE 3000,3.0,Manufacturing,Low level of accessibility,All entrances have steps,1.0,144.9622,-37.8091,A'Beckett Street
59,103316,Unknown building name,134 Elizabeth Street MELBOURNE 3000,2.0,Retail - Shop,High level of accessibility,Main Entrance has ramp,3.0,144.9638,-37.8149,Elizabeth Street
60,105929,ELIZABETH ARCADE,335-349 Little Collins Street MELBOURNE 3000,14.0,Unoccupied - Unused,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9633,-37.8156,Little Collins Street
61,105935,Unknown building name,431 Little Collins Street MELBOURNE 3000,2.0,Storage,Low level of accessibility,All entrances have steps,1.0,144.9604,-37.8163,Little Collins Street
62,108976,MERCURE HOTEL,13-23 Spring Street MELBOURNE 3000,14.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,144.9742,-37.8148,Spring Street
63,101237,Unknown building name,10 Bourke Street MELBOURNE 3000,2.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9726,-37.8112,Bourke Street
64,104001,HOLYMAN HOUSE,390-398 Flinders Street MELBOURNE 3000,3.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9613,-37.819,Flinders Street
65,104015,Unknown building name,222-224 Flinders Street MELBOURNE 3000,3.0,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9668,-37.8174,Flinders Street
66,104101,MELBOURNE BUS TERMINAL,58-64 Franklin Street MELBOURNE 3000,9.0,Parking - Commercial Covered,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9608,-37.8074,Franklin Street
67,105894,ANCIENT TIMES HOUSE,116-118 Little Bourke Street MELBOURNE 3000,3.0,Unoccupied - Under Renovation,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,144.969,-37.8113,Little Bourke Street
68,108586,Unknown building name,166 Russell Street MELBOURNE 3000,4.0,Storage,Low level of accessibility,All entrances have steps,1.0,144.9682,-37.8123,Russell Street
69,101121,Unknown building name,147-149 Bourke Street MELBOURNE 3000,2.0,Storage,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.969,-37.8128,Bourke Street
70,102173,ANZAC HOUSE,4-6 Collins Street MELBOURNE 3000,6.0,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9734,-37.8131,Collins Street
71,103927,Unknown building name,129-131 Flinders Lane MELBOURNE 3000,2.0,Storage,Low level of accessibility,All entrances have steps,1.0,144.9702,-37.8157,Flinders Lane
72,103627,CENTENARY HALL,104-110 Exhibition Street MELBOURNE 3000,7.0,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9714,-37.8131,Exhibition Street
73,108569,ALEXANDRA BUILDING,288-294 Russell Street MELBOURNE 3000,2.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.967,-37.8097,Russell Street
74,105701,Unknown building name,365-367 Lonsdale Street MELBOURNE 3000,3.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9618,-37.8128,Lonsdale Street
75,106006,Unknown building name,113-115 Little Lonsdale Street MELBOURNE 3000,2.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9686,-37.8095,Little Lonsdale Street
76,105489,Unknown building name,200-202 La Trobe Street MELBOURNE 3000,10.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9632,-37.8095,La Trobe Street
77,105859,Unknown building name,22-26 Brown Alley MELBOURNE 3000,1.0,Unoccupied - Under Construction,Low level of accessibility,All entrances have steps,1.0,144.9555,-37.8147,Brown Alley
78,104930,MISTY,3-5 Hosier Lane MELBOURNE 3000,3.0,Office,Low level of accessibility,All entrances have steps,1.0,144.969,-37.8165,Hosier Lane
79,101146,COMMONWEALTH BANK CENTRE,359-385 Bourke Street MELBOURNE 3000,45.0,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9629,-37.8149,Bourke Street
80,109393,Unknown building name,246 Swanston Street MELBOURNE 3000,2.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9653,-37.8121,Swanston Street
81,110728,Unknown building name,2-6 Rankins Lane MELBOURNE 3000,3.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.962,-37.8138,Rankins Lane
82,108075,Unknown building name,203-205 Queen Street MELBOURNE 3000,2.0,Storage,Low level of accessibility,All entrances have steps,1.0,144.96,-37.814,Queen Street
83,105961,CAUSEWAY HOUSE,304-306 Little Collins Street MELBOURNE 3000,8.0,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9643,-37.8147,Little Collins Street
84,108967,BATMANS HILL HOTEL,66-70 Spencer Street MELBOURNE 3000,6.0,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9547,-37.8193,Spencer Street
85,105741,Unknown building name,374-380 Lonsdale Street MELBOURNE 3000,5.0,Parking - Commercial Covered,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9611,-37.812,Lonsdale Street
86,103914,Unknown building name,31-35 Flinders Lane MELBOURNE 3000,5.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9733,-37.8149,Flinders Lane
87,102272,Unknown building name,10-26 Crossley Street MELBOURNE 3000,2.0,Storage,Low level of accessibility,All entrances have steps,1.0,144.9712,-37.8114,Crossley Street
88,103998,Unknown building name,452-470 Flinders Street MELBOURNE 3000,20.0,Office,High level of accessibility,Main Entrance has ramp,3.0,144.9586,-37.8195,Flinders Street
89,103197,Unknown building name,263 Elizabeth Street MELBOURNE 3000,2.0,Unoccupied - Under Renovation,Low level of accessibility,All entrances have steps,1.0,144.9621,-37.8126,Elizabeth Street
90,101225,Unknown building name,76 Bourke Street MELBOURNE 3000,2.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9709,-37.8117,Bourke Street
91,101227,Unknown building name,70 Bourke Street MELBOURNE 3000,2.0,Retail - Shop,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,144.9711,-37.8117,Bourke Street
92,110149,SCOTTISH HOUSE,90-96 William Street MELBOURNE 3000,7.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9592,-37.817,William Street
93,102165,ANU HOUSE,52-54 Collins Street MELBOURNE 3000,12.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9718,-37.8136,Collins Street
94,103600,Unknown building name,173-175 Exhibition Street MELBOURNE 3000,3.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.97,-37.8116,Exhibition Street
95,100730,MELBOURNE SAVAGE CLUB,12-16 Bank Place MELBOURNE 3000,3.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9606,-37.8165,Bank Place
96,106029,DOCKSIDE TOWER,536-548 Little Lonsdale Street MELBOURNE 3000,26.0,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9532,-37.8136,Little Lonsdale Street
97,587961,Melbourne Visitor Centre,2 Swanston Street MELBOURNE 3000,1.0,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9705,-37.8178,Swanston Street
98,103958,NATIONAL MUTUAL DATA CENTRE,539-545 Flinders Lane MELBOURNE 3000,2.0,Equipment Installation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9562,-37.8202,Flinders Lane
99,100162,Unknown building name,215-223 Franklin Street MELBOURNE 3000,4.0,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9576,-37.8098,Franklin Street
100,103632,Unknown building name,12-14 Exploration Lane MELBOURNE 3000,2.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9684,-37.809,Exploration Lane
101,102077,THEOSOPHICAL SOCIETY BUILDING,181-187 Collins Street MELBOURNE 3000,7.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9678,-37.8154,Collins Street
102,101128,MC DONALDS,185-187 Bourke Street MELBOURNE 3000,4.0,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9678,-37.8131,Bourke Street
103,108533,SCOTS CHURCH,77-97 Russell Street MELBOURNE 3000,2.0,"Performances, Conferences, Ceremonies",Low level of accessibility,All entrances have steps,1.0,144.9685,-37.8145,Russell Street
104,102091,STOCK EXCHANGE HOUSE,351-357 Collins Street MELBOURNE 3000,23.0,Unoccupied - Under Renovation,Low level of accessibility,All entrances have steps,1.0,144.9628,-37.8172,Collins Street
105,110725,Unknown building name,13-21 Little Lonsdale Street MELBOURNE 3000,1.0,Storage,Low level of accessibility,All entrances have steps,1.0,144.9714,-37.809,Little Lonsdale Street
106,105392,DALGETY HOUSE,120-138 King Street MELBOURNE 3000,5.0,Office,High level of accessibility,Main Entrance has ramp,3.0,144.9564,-37.817,King Street
107,103227,Unknown building name,441-447 Elizabeth Street MELBOURNE 3000,3.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,144.9601,-37.8087,Elizabeth Street
108,105390,FORESTRY HOUSE,589-603 Bourke Street MELBOURNE 3000,12.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9562,-37.8165,Bourke Street
109,109261,COMMONWEALTH BANK,21-25 Swanston Street MELBOURNE 3000,2.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9668,-37.817,Swanston Street
110,104092,CONCORD HOUSE,132-140 Franklin Street MELBOURNE 3000,2.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9585,-37.8085,Franklin Street
111,101113,Unknown building name,59-63 Bourke Street MELBOURNE 3000,4.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9716,-37.8121,Bourke Street
112,106049,Unknown building name,146-148 Little Lonsdale Street MELBOURNE 3000,2.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9676,-37.8095,Little Lonsdale Street
113,110692,PUBLIC TOILETS,Therry Street MELBOURNE 3000,1.0,Community Use,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9577,-37.8076,Therry Street
114,101158,Unknown building name,573-585 Bourke Street MELBOURNE 3000,17.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9567,-37.8165,Bourke Street
115,101199,MIDTOWN PLAZA,246-260 Bourke Street MELBOURNE 3000,8.0,Office,High level of accessibility,Main Entrance has ramp,3.0,144.9658,-37.8129,Bourke Street
116,102106,TRANSPORT HOUSE,589-605 Collins Street MELBOURNE 3000,18.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9552,-37.8194,Collins Street
117,108594,GIRL GUIDES HEADQUARTERS,14-22 Russell Street MELBOURNE 3000,2.0,Unoccupied - Under Demolition/Condemned,High level of accessibility,Main Entrance has ramp,3.0,144.97,-37.8162,Russell Street
118,103594,DENTON CORKER MARSHALL,49-51 Exhibition Street MELBOURNE 3000,8.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9715,-37.8148,Exhibition Street
119,109438,Unknown building name,11-27 Tavistock Place MELBOURNE 3000,2.0,Equipment Installation,Low level of accessibility,All entrances have steps,1.0,144.9615,-37.8185,Tavistock Place
120,101143,DEVA HOUSE,327-329 Bourke Street MELBOURNE 3000,9.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9642,-37.8143,Bourke Street
121,103303,RMIT - BUILDING 87,410-420 Elizabeth Street MELBOURNE 3000,7.0,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9612,-37.8089,Elizabeth Street
122,105686,Unknown building name,193 Lonsdale Street MELBOURNE 3000,2.0,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9667,-37.8113,Lonsdale Street
123,100731,CHARTER HOUSE,4-10 Bank Place MELBOURNE 3000,8.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9606,-37.8167,Bank Place
124,102076,LAURA ASHLEY HOUSE,179 Collins Street MELBOURNE 3000,2.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9679,-37.8154,Collins Street
125,103175,Unknown building name,59-65 Elizabeth Street MELBOURNE 3000,6.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9641,-37.8168,Elizabeth Street
126,103320,BRASHS,104-110 Elizabeth Street MELBOURNE 3000,6.0,Unoccupied - Unused,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.964,-37.8154,Elizabeth Street
127,105959,BENJAMIN HOUSE,358-360 Little Collins Street MELBOURNE 3000,5.0,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9626,-37.8153,Little Collins Street
128,105923,HALLADALE HOUSE,281-283 Little Collins Street MELBOURNE 3000,2.0,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9652,-37.8151,Little Collins Street
129,104006,DUXTON HOTEL,318-332 Flinders Street MELBOURNE 3000,10.0,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9636,-37.8182,Flinders Street
130,108559,OLD MELBOURNE GAOL,377 Russell Street MELBOURNE 3000,3.0,Public Display Area,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9653,-37.8078,Russell Street
131,102058,Unknown building name,11 Collins Street MELBOURNE 3000,2.0,Unoccupied - Unused,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,144.9735,-37.8138,Collins Street
132,105485,MELB CENTRAL: LATROBE CAR PARK,224-252 La Trobe Street MELBOURNE 3000,10.0,Parking - Commercial Covered,Low level of accessibility,All entrances have steps,1.0,144.9623,-37.8097,La Trobe Street
133,101189,Unknown building name,384-386 Bourke Street MELBOURNE 3000,3.0,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9622,-37.8142,Bourke Street
134,102090,DBSM HOUSE,345-349 Collins Street MELBOURNE 3000,6.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9628,-37.817,Collins Street
135,105916,VICTORIA HOTEL,201-207 Little Collins Street MELBOURNE 3000,10.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,144.9675,-37.8143,Little Collins Street
136,108073,RECRUITMENT SUPER HOUSE,175-183 Queen Street MELBOURNE 3000,12.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.96,-37.8145,Queen Street
137,108067,RESI PERMANENT HOUSE,103-105 Queen Street MELBOURNE 3000,6.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9609,-37.8162,Queen Street
138,103231,QUEEN VICTORIA MEWS,473-481 Elizabeth Street MELBOURNE 3000,2.0,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9598,-37.8078,Elizabeth Street
139,104082,Unknown building name,139-141 Franklin Street MELBOURNE 3000,3.0,Office,Low level of accessibility,All entrances have steps,1.0,144.96,-37.8086,Franklin Street
140,103326,CARLOW HOUSE,281-291 Flinders Lane MELBOURNE 3000,11.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9649,-37.8172,Flinders Lane
141,103200,Unknown building name,287-289 Elizabeth Street MELBOURNE 3000,2.0,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9617,-37.8119,Elizabeth Street
142,106021,FIVE 2 FIVE,523-525 Little Lonsdale Street MELBOURNE 3000,1.0,Storage,Low level of accessibility,All entrances have steps,1.0,144.9564,-37.8131,Little Lonsdale Street
143,102104,RIALTO TOWERS,505-535 Collins Street MELBOURNE 3000,56.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9575,-37.8187,Collins Street
144,106435,PORT APARTMENTS,21-31 Market Street MELBOURNE 3000,12.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9604,-37.8186,Market Street
145,108589,Unknown building name,124-130 Russell Street MELBOURNE 3000,5.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9687,-37.8133,Russell Street
146,109284,HOTEL SWANSTON,191-205 Swanston Street MELBOURNE 3000,16.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.965,-37.8131,Swanston Street
147,102157,90 COLLINS STREET,90-98 Collins Street MELBOURNE 3000,22.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9703,-37.814,Collins Street
148,101180,EQUITY CHAMBERS,472-478 Bourke Street MELBOURNE 3000,6.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9596,-37.8149,Bourke Street
149,106053,Unknown building name,124-126 Little Lonsdale Street MELBOURNE 3000,2.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9681,-37.8093,Little Lonsdale Street
