furniture_id,furniture_description,furniture_class,furniture_type,furniture_location,furniture_latitude,furniture_longitude
1075970,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Clarendon Street between Wellington Parade and George Street approximately 88m SW of Hepburn Terrace, 209 George Street, East Melbourne, 3002",-37.815722082701946, 144.98278762422325
1075971,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Clarendon Street between Wellington Parade and George Street approximately 88m West of Hotel Pullman Melbourne On The Park, Pullman Melbourne on the Park, 192 Wellington Parade, East Melbourne, 3002",-37.815909347486894, 144.98275605828653
1075972,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Wellington Parade between Powlett Street and Clarendon Street approximately 83m West of Hotel Pullman Melbourne On The Park, Pullman Melbourne on the Park, 192 Wellington Parade, East Melbourne, 3002",-37.815997368799586, 144.9827914901876
1075973,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Wellington Parade between Powlett Street and Clarendon Street approximately 45m West of Hotel Pullman Melbourne On The Park, Pullman Melbourne on the Park, 192 Wellington Parade, East Melbourne, 3002",-37.816044965397495, 144.98321845832677
1075974,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Wellington Parade between Powlett Street and Clarendon Street approximately 31m West of Hotel Pullman Melbourne On The Park, Pullman Melbourne on the Park, 192 Wellington Parade, East Melbourne, 3002",-37.8160632783019, 144.9833826768177
1075977,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Wellington Parade between Powlett Street and Clarendon Street approximately 23m West of Two Fat Indians, 168 Wellington Parade, East Melbourne, 3002",-37.81614496747934, 144.98413247244818
1075980,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Wellington Parade between Powlett Street and Clarendon Street approximately 38m SW of Hotel Pullman Melbourne On The Park, Pullman Melbourne on the Park, 192 Wellington Parade, East Melbourne, 3002",-37.816295376013386, 144.98339578576656
1075982,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Wellington Parade between Simpson Street and Powlett Street approximately 20m East of Il Duca Restaurant, Ground, 132 Wellington Parade, East Melbourne, 3002",-37.8163481015379, 144.98594451962978
1075983,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Wellington Parade South between Wellington Crescent and Flinders Street approximately 30m SE of City of Melbourne, Wellington Park, Wellington Parade South, East Melbourne, 3002",-37.816184781424894, 144.97755190650298
1075984,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Jolimont Road between Wellington Parade South and Wellington Parade approximately 62m NW of 157 Wellington Parade South, East Melbourne, 3002",-37.816333600408534, 144.97889750485442
1075986,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Jolimont Terrace between Wellington Parade South and Jolimont Street approximately 31m East of 81 Wellington Parade South, East Melbourne, 3002",-37.81693809823585, 144.9819914754512
1075988,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Jolimont Terrace between Wellington Parade South and Jolimont Street approximately 4m SE of Coningsby, 42 Jolimont Terrace, East Melbourne, 3002",-37.81846404844891, 144.98172248641666
1075989,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Russell Street between Bourke Street and Little Bourke Street approximately 11m South of Sui, Ground, 164 Russell Street, Melbourne, 3000",-37.81249166952684, 144.96810379201534
1075990,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Exhibition Street between Little Lonsdale Street and La Trobe Street approximately 43m North of Grandma's Dumplings, 311 Exhibition Street, Melbourne, 3000",-37.808305908003845, 144.96898285859615
1075991,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Exhibition Street between Little Lonsdale Street and La Trobe Street approximately 17m NW of Telstra Corporation Limited, Telstra Exhibition Exchange, 288-308 Exhibition Street, Melbourne, 3000",-37.80869062097474, 144.96915530457312
1076004,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"St Kilda Road between Anzac Avenue and Coventry Street approximately 93m South of Department Of Defence, Victoria Barracks Melbourne, 256-310 St Kilda Road, Southbank, 3006",-37.82817406395103, 144.97121042201053
1076005,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"St Kilda Road between Coventry Street and Dorcas Street approximately 58m North of Wesfarmers, Ground & Level 7, 324 St Kilda Road, Southbank, 3006",-37.82902697382699, 144.97102435963924
1076006,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"St Kilda Road between Coventry Street and Dorcas Street approximately 15m North of Wesfarmers, Ground & Level 7, 324 St Kilda Road, Southbank, 3006",-37.82942099304725, 144.97101538375597
1076008,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Grant Street between St Kilda Road and Wells Street approximately 16m NE of 3 Grant Street, Southbank, 3006",-37.82511241519028, 144.9705727285601
1076009,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Dorcas Street between St Kilda Road and Wells Street approximately 19m SW of Quest On Dorcas, 8A Dorcas Street, Southbank, 3006",-37.830163036563206, 144.97005440157886
1076014,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Queens Bridge Street between Power Street and Kings Way approximately 10m NW of City Road Park, 135 Queens Bridge Street, Southbank, 3006",-37.82532677499997, 144.9602715847019
1076016,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Kings Way between Kavanagh Street and City Road approximately 43m North of Kingsway & Moray Street Reserve, 1-5 Moray Street, Southbank, 3006",-37.82615369136667, 144.96051603243734
1076018,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Queens Bridge Street between Power Street and Kings Way approximately 4m NW of Barnard, Baudinette & Co Pty Ltd, Unit 34, 107 Queens Bridge Street, Southbank, 3006",-37.82469209450402, 144.9604806082424
1076019,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Queens Bridge Street between Power Street and Kings Way approximately 24m South of Baxter Institute, 91-93 Queens Bridge Street, Southbank, 3006",-37.82447106935048, 144.96056054019556
1076020,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Queens Bridge Street between Power Street and Kings Way approximately 29m NW of 85E Queens Bridge Street, Southbank, 3006",-37.823804201515166, 144.96050857499333
1076022,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Intersection of Sturt Street and Southbank Boulevard approximately 23m North of CitiPower Pty Ltd, Substation, 98 Sturt Street, Southbank, 3006",-37.82372893607313, 144.9671514507548
1076025,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Sturt Street between Southbank Boulevard and Grant Street approximately 41m South of Betwixt Cafe & Bar, Building 877, 45 Sturt Street, Southbank, 3006",-37.82505350330332, 144.96700126372326
1076027,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Sturt Street between Kavanagh Street and Southbank Boulevard approximately 84m NE of CitiPower Pty Ltd, Substation, 98 Sturt Street, Southbank, 3006",-37.82328070422686, 144.96756456183215
1076028,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Sturt Street between Kavanagh Street and Southbank Boulevard approximately 81m North of CitiPower Pty Ltd, Substation, 98 Sturt Street, Southbank, 3006",-37.823214190620675, 144.96730315558344
1076029,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Kavanagh Street between Power Street and Balston Street approximately 5m East of 120 Kavanagh Street, Southbank, 3006",-37.82574593507023, 144.96217247933677
1076030,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Kavanagh Street between Power Street and Balston Street approximately 52m NE of Unit 1, Ground, 90 Kavanagh Street, Southbank, 3006",-37.82464632659228, 144.96346437544247
1076032,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Kavanagh Street between Power Street and Balston Street approximately 43m East of Unit 1, Ground, 90 Kavanagh Street, Southbank, 3006",-37.824918980180264, 144.96352447832777
1076034,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Kavanagh Street between Southbank Boulevard and Power Street approximately 33m East of 30 Kavanagh Street, Southbank, 3006",-37.823399556269386, 144.96521073452132
1076037,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Moore Street between Southbank Boulevard and Southern Link Road approximately 38m North of Victorian Institute Of Forensic Medicine, Victorian Institute of Forensic Medicine, 54 Moore Street, Southbank, 3006",-37.824597010870434, 144.96557945701772
1076038,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Moore Street between Southbank Boulevard and Southern Link Road approximately 95m North of Victorian Institute Of Forensic Medicine, Victorian Institute of Forensic Medicine, 54 Moore Street, Southbank, 3006",-37.82409202342197, 144.96573249738213
1076041,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Cardigan Street between Victoria Street and Queensberry Street approximately 3m SE of Royal Melbourne Institute Of Technology, 39-49 Cardigan Street, Carlton, 3053",-37.80574217881179, 144.96441794539945
1076042,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Cardigan Street between Victoria Street and Queensberry Street approximately 17m NE of Panda Hot Pot, 96-100 Victoria Street, Carlton, 3053",-37.80654284270667, 144.9642805585574
1076043,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Argyle Place South between Lygon Street and Cardigan Street approximately 7m East of Nutrition Biomed, 29 Argyle Place South, Carlton, 3053",-37.80354687194919, 144.9654534086324
1076044,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Argyle Place South between Lygon Street and Cardigan Street approximately 4m NW of Co2crc Limited, Ground, 11-15 Argyle Place South, Carlton, 3053",-37.80358188150255, 144.9658054495089
1076045,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Victoria Street between Lygon Street and Cardigan Street approximately 20m West of Royal Melbourne Institute Of Technology, 80-92 Victoria Street, Carlton, 3053",-37.80672891657783, 144.96459745686238
1076047,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Victoria Street between Lygon Street and Cardigan Street approximately 4m SW of Kwik Kopy Printing Centre North Melbourne, 76-78 Victoria Street, Carlton, 3053",-37.80679536487352, 144.9652354471209
1076048,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Cardigan Street between Victoria Street and Queensberry Street approximately 13m North of Royal Melbourne Institute Of Technology, 23-27 Cardigan Street, Carlton, 3053",-37.8060158702589, 144.9643764687543
1076049,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Elizabeth Street between Queensberry Street and Pelham Street approximately 6m SW of The Last Jar, Royal Artillery Hotel, 616 Elizabeth Street, Melbourne, 3000",-37.803914869470034, 144.95870740208082
1076050,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Queensberry Street between Leicester Street and Berkeley Street approximately 5m South of CitiPower Pty Ltd, Substation Opposite, 1 Barry Street, Carlton, 3053",-37.80410349256621, 144.96005470809652
1076051,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Leicester Street between Berkeley Street and Queensberry Street approximately 12m East of Le Ciel Hair Salon, Ground, 259 Queensberry Street, Carlton, 3053",-37.80437691728803, 144.96013838852247
1076052,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Queensberry Street between Bouverie Street and Leicester Street approximately 22m West of Australian Manufacturing Workers Union, 233-251 Queensberry Street, Carlton, 3053",-37.80437895010476, 144.96052109560335
1076053,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Queensberry Street between Bouverie Street and Leicester Street approximately 10m West of Queensberry Childrens Centre, Gnd & Flr1, 224-252 Queensberry Street, Carlton, 3053",-37.804189936525006, 144.9608155819032
1076054,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Bouverie Street between Queensberry Street and Lincoln Square South approximately 6m West of The Queensberry Pour House, 210 Queensberry Street, Carlton, 3053",-37.80427369173344, 144.961947254646
1076058,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Elizabeth Street between Queensberry Street and Pelham Street approximately 13m NW of Duke Pizza, Shop 1, Ground, 660 Elizabeth Street, Melbourne, 3000",-37.80292488124365, 144.95825252542605
1076059,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Pelham Street between Berkeley Street and Elizabeth Street approximately 17m SE of 228 Pelham Street, Melbourne, 3000",-37.80182352615566, 144.9583445278346
1076060,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Pelham Street between Berkeley Street and Barry Street approximately 31m North of 140 Berkeley Street, Carlton, 3053",-37.802088012248824, 144.95890024052912
1076061,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Pelham Street between Berkeley Street and Barry Street approximately 37m North of University Square Student Accommodation, 85 Barry Street, Carlton, 3053",-37.801913537937864, 144.95934185616755
1076062,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Pelham Street between Leicester Street and Barry Street approximately 56m NE of University Square Student Accommodation, 85 Barry Street, Carlton, 3053",-37.801973041893326, 144.95976465120293
1076064,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Elizabeth Street between Queensberry Street and Pelham Street approximately 18m NW of Royal Xpress Mini Mart Plus Liquor, 690 Elizabeth Street, Melbourne, 3000",-37.80219431211588, 144.95791556180478
1076065,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Pelham Street between Cardigan Street and Swanston Street approximately 10m East of 99 Pelham Street, Carlton, 3053",-37.80273737787995, 144.96474089350136
1076066,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Pelham Street between Drummond Street and Lygon Street approximately 16m West of 66 Pelham Street, Carlton, 3053",-37.80275383665351, 144.96698234073742
1076067,Litter Bin - Stainless Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Rathdowne Street between Pelham Street and Grattan Street approximately 29m North of Sacred Heart, 169 Rathdowne Street, Carlton, 3053",-37.802708867233065, 144.96946852744654
1076068,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Queens Bridge Street between Power Street and Kings Way approximately 37m NW of Barnard, Baudinette & Co Pty Ltd, Unit 34, 107 Queens Bridge Street, Southbank, 3006",-37.82443632276733, 144.96029746642176
1076069,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Queens Bridge Street between Power Street and Kings Way approximately 27m West of Barnard, Baudinette & Co Pty Ltd, Unit 34, 107 Queens Bridge Street, Southbank, 3006",-37.82464048891167, 144.96022754124076
1076072,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Park Street between St Martins Lane and Domain Road approximately 7m South of Entrecote A La Maison, 119 Park Street, South Yarra, 3141",-37.834529235867976, 144.98235859652277
1076074,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Park Street between Toorak Road and Mason Street approximately 34m South of 18 Park Street, South Yarra, 3141",-37.83747801525919, 144.9819299699581
1076075,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Toorak Road between Park Street and Leopold Street approximately 20m West of Simonds Hall, 120W Toorak Road, South Yarra, 3141",-37.83775407290238, 144.9825257138098
1076076,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Toorak Road between Leopold Street and Marne Street approximately 3m South of Simonds Hall, 120W Toorak Road, South Yarra, 3141",-37.83778430149368, 144.98276465201332
1076077,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Toorak Road between Marne Street and Walsh Street approximately 90m South of 30 Walsh Street, South Yarra, 3141",-37.838021479406, 144.98461606680434
1076078,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Toorak Road between Walsh Street and Punt Road approximately 34m North of Christ Church South Yarra, 683-701 Punt Road, South Yarra, 3141",-37.83835995160074, 144.98627963256297
1076079,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Punt Road between Mona Place and Toorak Road approximately 32m South of South Yarra Backpackers, 733-735 Punt Road, South Yarra, 3141",-37.83816847512539, 144.9864654011092
1076080,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Punt Road between Park Place and Toorak Road approximately 4m NE of Christ Church South Yarra, 683-701 Punt Road, South Yarra, 3141",-37.83863178920127, 144.98636644080224
1076081,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Anderson Street between St Leonards Court and Alexandra Avenue approximately 83m NW of 4 St Leonards Court, South Yarra, 3141",-37.8286253037906, 144.98473882907817
1076082,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Intersection of Anderson Street and St Leonards Court approximately 19m NW of 132 Anderson Street, South Yarra, 3141",-37.82931328160014, 144.98460308345108
1076083,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Intersection of Anderson Street and Clowes Street approximately 76m NE of Eastern Lodge, Eastern Lodge, Royal Botanic Gardens Victoria, Anderson Street, Melbourne, 3004",-37.83041620339114, 144.98438559864638
1076084,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Anderson Street between Fairlie Court and Clowes Street approximately 53m South of Eastern Lodge, Eastern Lodge, Royal Botanic Gardens Victoria, Anderson Street, Melbourne, 3004",-37.83150282070631, 144.98416855040003
1076085,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Intersection of Anderson Street and Fairlie Court approximately 23m West of 1 Fairlie Court, South Yarra, 3141",-37.83263714355783, 144.98393769782257
1076086,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Intersection of Anderson Street and Acland Street approximately 18m West of 36 Anderson Street, South Yarra, 3141",-37.833246585919504, 144.98379952887953
1076087,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Anderson Street between Domain Road and Acland Street approximately 30m North of Raveloe, 205 Domain Road, South Yarra, 3141",-37.834113053462794, 144.98361459021734
1076088,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Clowes Street between Airlie Street and Punt Road approximately 22m SE of Golden Elm Reserve, 2 Clowes Street, South Yarra, 3141",-37.83093748121568, 144.98772776893568
1076089,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Domain Road between Domain Street and Hope Street approximately 5m East of Melbourne Grammar School, Strickland P.E. Centre, Melbourne Grammar School, 109 Domain Road, South Yarra, 3141",-37.83382248887285, 144.97949222949543
1075495,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"King Street between Bourke Street and Little Bourke Street approximately 4m SE of Mister Click Pty Ltd, 167 King Street, Melbourne, 3000",-37.81615205566925, 144.95547326852594
1076091,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Punt Road between Tivoli Place and Mona Place approximately 19m South of Balmoral, 783 Punt Road, South Yarra, 3141",-37.83656475578939, 144.9868034248466
1076095,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,Punt Road between Moubray Street and Commercial Road,-37.84697456924312, 144.98471643708336
1076096,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,Punt Road between Moubray Street and Commercial Road,-37.84819368741128, 144.98451697797495
1076097,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,Punt Road between High Street and Moubray Street,-37.84881141681349, 144.9844154888665
1076098,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,Punt Road between High Street and Moubray Street,-37.85054905912764, 144.9841101794399
1076099,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,St Kilda Road between Anzac Avenue and Coventry Street,-37.82833342886581, 144.97147407822285
1076100,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"St Kilda Road between Coventry Street and Dorcas Street approximately 5m East of Wesfarmers, Ground & Level 7, 324 St Kilda Road, Southbank, 3006",-37.82954090831123, 144.9710083493497
1076101,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,St Kilda Road between Dorcas Street and Domain Road,-37.83216264157045, 144.97206695263316
1076104,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Intersection of St Kilda Road and Toorak Road approximately 12m NW of The Muse, 409 St Kilda Road, Melbourne, 3004",-37.83714155761138, 144.97618934050894
1076106,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Slater Street from St Kilda Road approximately 56m West of Serco Australia Pty Limited, The Lodge, Fawkner Park, 1A Slater Street, South Yarra, 3141",-37.83893709056046, 144.97752317492115
1076108,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Slater Street from St Kilda Road approximately 27m North of Cafe Promenade On St Kilda Road, Unit 1, Ground, 437 St Kilda Road, Melbourne, 3004",-37.83904711628721, 144.97703495635358
1076109,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Slater Street from St Kilda Road approximately 42m North of Cafe Promenade On St Kilda Road, Unit 1, Ground, 437 St Kilda Road, Melbourne, 3004",-37.8389133500995, 144.97698065841064
1076110,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"St Kilda Road between Toorak Road and Slater Street approximately 49m South of Global Retail Brands Australia Pty Ltd, Ground & Pt Lvl 3, 425 St Kilda Road, Melbourne, 3004",-37.838765820166486, 144.97678094608892
1076111,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"St Kilda Road between Toorak Road and Slater Street approximately 54m South of Global Retail Brands Australia Pty Ltd, Ground & Pt Lvl 3, 425 St Kilda Road, Melbourne, 3004",-37.83881700907344, 144.97661852980244
1076112,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"St Kilda Road between Slater Street and Armadale Street approximately 25m South of Cafe Promenade On St Kilda Road, Unit 1, Ground, 437 St Kilda Road, Melbourne, 3004",-37.83951224639208, 144.9770631558741
1076113,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"St Kilda Road between Wadey Street and Anzac Avenue approximately 36m NW of Marquis of Linlithgow Memorial Reserve, St Kilda Road, Melbourne, 3004",-37.82641368600443, 144.97161708809148
1076115,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Intersection of St Kilda Road and Armadale Street approximately 57m North of Mariner Travel Pty Ltd, Ground, 473 St Kilda Road, Melbourne, 3004",-37.84120297567992, 144.97769991351544
1076116,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,"Intersection of St Kilda Road and Armadale Street approximately 40m North of Mariner Travel Pty Ltd, Ground, 473 St Kilda Road, Melbourne, 3004",-37.841346504167326, 144.9777664476254
